order_id,order_date,product,category,region,units,unit_price,revenue
ORD-0001,2025-05-06,Wireless Mouse,Electronics,North,9,24.99,224.91
ORD-0002,2025-01-17,Mechanical Keyboard,Electronics,,14,99.99,1399.86
ORD-0003,2025-11-05,Office Chair,Furniture,,17,189.99,3229.83
ORD-0004,2025-04-23,Bookshelf,Furniture,East,14,129.99,1819.86
ORD-0005,2025-06-24,USB-C Hub,Electronics,South,14,39.99,559.86
ORD-0006,2025-07-14,Notebook Pack,Office Supplies,East,3,12.99,38.97
ORD-0007,2025-10-02,Notebook Pack,Office Supplies,West,15,12.99,194.85
ORD-0008,2025-11-18,Mechanical Keyboard,Electronics,East,10,99.99,999.9
ORD-0009,2025-12-05,Desk Lamp,Furniture,East,2,34.99,69.98
ORD-0010,2025-07-14,USB-C Hub,Electronics,East,4,39.99,159.96
ORD-0011,2025-04-18,Standing Desk,Furniture,North,12,449.99,5399.88
ORD-0012,2025-03-25,Bookshelf,Furniture,East,8,129.99,1039.92
ORD-0013,2025-04-28,Standing Desk,Furniture,East,2,449.99,899.98
ORD-0014,2025-04-19,Baseball Cap,Apparel,East,3,16.99,50.97
ORD-0015,2025-11-26,Monitor Arm,Furniture,East,13,89.99,1169.87
ORD-0016,2025-10-03,Office Chair,Furniture,West,18,189.99,3419.82
ORD-0017,2025-03-12,Baseball Cap,Apparel,North,8,16.99,135.92
ORD-0018,2025-11-18,Wireless Mouse,Electronics,West,5,24.99,124.95
ORD-0019,2025-11-02,Webcam HD,Electronics,East,13,79.99,1039.87
ORD-0020,2025-05-17,Wireless Mouse,Electronics,East,18,24.99,449.82
ORD-0021,2025-03-22,Bluetooth Speaker,Electronics,East,14,59.99,839.86
ORD-0022,2025-11-17,Bookshelf,Furniture,South,4,129.99,519.96
ORD-0023,2025-10-04,Standing Desk,Furniture,North,6,449.99,2699.94
ORD-0024,2025-02-27,Paper Ream,Office Supplies,East,1,9.99,9.99
ORD-0025,2025-10-18,Desk Lamp,Furniture,North,8,34.99,279.92
ORD-0026,2025-03-06,Logo T-Shirt,Apparel,West,18,18.99,341.82
ORD-0027,2025-11-07,Standing Desk,Furniture,South,17,449.99,7649.83
ORD-0028,2025-12-10,Standing Desk,Furniture,West,13,449.99,5849.87
ORD-0029,2025-04-26,Logo T-Shirt,Apparel,North,8,18.99,151.92
ORD-0030,2025-01-04,Bookshelf,Furniture,North,8,129.99,1039.92
ORD-0031,2025-06-19,Desk Lamp,Furniture,South,2,34.99,69.98
ORD-0032,2025-10-04,Paper Ream,Office Supplies,West,7,9.99,69.93
ORD-0033,2025-04-08,Monitor Arm,Furniture,West,14,89.99,1259.86
ORD-0034,2025-08-28,Paper Ream,Office Supplies,North,14,9.99,139.86
ORD-0035,2025-06-23,Wireless Mouse,Electronics,North,13,24.99,324.87
ORD-0036,2025-10-02,Office Chair,Furniture,West,7,189.99,1329.93
ORD-0037,2025-05-08,Standing Desk,Furniture,North,15,449.99,6749.85
ORD-0038,2025-01-26,Rain Jacket,Apparel,North,4,69.99,279.96
ORD-0039,2025-07-28,USB-C Hub,Electronics,South,6,39.99,239.94
